country;gold;silver;bronze;year
Singapore;744000;372000;186000;2021
Indonesia;746000;378000;188000;2019
Hong Kong;644000;322000;161000;2020
Thailand;309300;unknown;unknown;2016
Kazakhstan;250000;150000;75000;2018
Azerbaijan;248000;124000;62000;2019
Malaysia;241000;72200;24100;2021
Italy;212400;106200;70800;2021
Hungary;167500;125600;95500;2020
France;65000;25000;15000;2021
Russia;61000;38000;26000;2018
Brazil;47500;28500;19000;2021
Japan;45200;18100;9045;2021
USA;37500;22500;15000;2016
South Africa;37000;19000;7000;2019
Netherlands;35400;26600;17700;2016
Germany;22000;17000;11000;2019
Canada;16000;12000;8000;2021
Australia;15100;11400;7600;2021
